component_id,frame_id,protein_index,protein_key,protein_name,total_nodes_associated,total_nodes_original,pep_orig_nodes,mhc_orig_nodes,frame_nodes_instances,frame_nodes_unique,node_coverage,duplication_ratio,duplication_rate,avg_multiplicity,unique_nodes_per_chain
0,0,0,0,bst2_renamed,55,49,7,42,55,40,0.8163265306122449,0.7272727272727273,0.2727272727272727,1.375,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
0,0,1,1,dse_renamed,55,48,6,42,55,40,0.8333333333333334,0.7272727272727273,0.2727272727272727,1.375,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
0,0,2,2,erbb2_renamed,55,49,6,43,55,40,0.8163265306122449,0.7272727272727273,0.2727272727272727,1.375,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
0,0,3,3,imp1_renamed,55,48,5,43,55,40,0.8333333333333334,0.7272727272727273,0.2727272727272727,1.375,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
0,0,4,4,imp2_renamed,55,48,5,43,55,40,0.8333333333333334,0.7272727272727273,0.2727272727272727,1.375,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
0,0,5,5,melana_renamed,55,49,6,43,55,41,0.8367346938775511,0.7454545454545455,0.2545454545454545,1.3414634146341464,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
0,0,6,6,mrp3_renamed,55,47,4,43,55,40,0.851063829787234,0.7272727272727273,0.2727272727272727,1.375,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
0,0,7,7,muc16ats_renamed,55,48,5,43,55,40,0.8333333333333334,0.7272727272727273,0.2727272727272727,1.375,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
0,0,8,8,muc16tss_renamed,55,50,6,44,55,41,0.82,0.7454545454545455,0.2545454545454545,1.3414634146341464,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1, ""AAAAACAAC"": 1, ""AAAAACAAA"": 1}"
1,0,0,0,bst2_renamed,23,49,7,42,23,20,0.40816326530612246,0.8695652173913043,0.13043478260869568,1.15,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,0,1,1,dse_renamed,23,48,6,42,23,20,0.4166666666666667,0.8695652173913043,0.13043478260869568,1.15,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,0,2,2,erbb2_renamed,23,49,6,43,23,20,0.40816326530612246,0.8695652173913043,0.13043478260869568,1.15,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,0,3,3,imp1_renamed,23,48,5,43,23,20,0.4166666666666667,0.8695652173913043,0.13043478260869568,1.15,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,0,4,4,imp2_renamed,23,48,5,43,23,20,0.4166666666666667,0.8695652173913043,0.13043478260869568,1.15,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,0,5,5,melana_renamed,23,49,6,43,23,21,0.42857142857142855,0.9130434782608695,0.08695652173913049,1.0952380952380953,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,0,6,6,mrp3_renamed,23,47,4,43,23,20,0.425531914893617,0.8695652173913043,0.13043478260869568,1.15,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,0,7,7,muc16ats_renamed,23,48,5,43,23,20,0.4166666666666667,0.8695652173913043,0.13043478260869568,1.15,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,0,8,8,muc16tss_renamed,23,50,6,44,23,21,0.42,0.9130434782608695,0.08695652173913049,1.0952380952380953,"{""AAAAAAAAA"": 20, ""AAAAACAAC"": 1, ""AAAAAAAAC"": 1, ""AAAAACAAA"": 1}"
1,1,0,0,bst2_renamed,20,49,7,42,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,1,1,dse_renamed,20,48,6,42,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,2,2,erbb2_renamed,20,49,6,43,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,3,3,imp1_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,4,4,imp2_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,5,5,melana_renamed,20,49,6,43,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,6,6,mrp3_renamed,20,47,4,43,20,20,0.425531914893617,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,7,7,muc16ats_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,8,8,muc16tss_renamed,20,50,6,44,20,20,0.4,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,2,0,0,bst2_renamed,4,49,7,42,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAACAAA"": 1}"
1,2,1,1,dse_renamed,4,48,6,42,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAACAAA"": 1}"
1,2,2,2,erbb2_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAACAAA"": 1}"
1,2,3,3,imp1_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAACAAA"": 1}"
1,2,4,4,imp2_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAACAAA"": 1}"
1,2,5,5,melana_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAACAAA"": 1}"
