component_id,frame_id,protein_index,protein_key,protein_name,total_nodes_associated,total_nodes_original,pep_orig_nodes,mhc_orig_nodes,frame_nodes_instances,frame_nodes_unique,node_coverage,duplication_ratio,duplication_rate,avg_multiplicity,unique_nodes_per_chain
0,0,0,0,dse_renamed,53,48,6,42,53,40,0.8333333333333334,0.7547169811320755,0.24528301886792447,1.325,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
0,0,1,1,mrp3_renamed,53,47,4,43,53,40,0.851063829787234,0.7547169811320755,0.24528301886792447,1.325,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
0,0,2,2,muc16ats_renamed,53,48,5,43,53,40,0.8333333333333334,0.7547169811320755,0.24528301886792447,1.325,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
0,0,3,3,imp2_renamed,53,48,5,43,53,40,0.8333333333333334,0.7547169811320755,0.24528301886792447,1.325,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
0,0,4,4,bst2_renamed,53,49,7,42,53,40,0.8163265306122449,0.7547169811320755,0.24528301886792447,1.325,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
0,0,5,5,muc16tss_renamed,53,50,6,44,53,40,0.8,0.7547169811320755,0.24528301886792447,1.325,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
0,0,6,6,imp1_renamed,53,48,5,43,53,40,0.8333333333333334,0.7547169811320755,0.24528301886792447,1.325,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
0,0,7,7,erbb2_renamed,53,49,6,43,53,40,0.8163265306122449,0.7547169811320755,0.24528301886792447,1.325,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
0,0,8,8,melana_renamed,53,49,6,43,53,41,0.8367346938775511,0.7735849056603774,0.2264150943396226,1.2926829268292683,"{""AAAAAAAAA"": 40, ""AAAAAAAAC"": 1}"
1,0,0,0,dse_renamed,20,48,6,42,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,0,1,1,mrp3_renamed,20,47,4,43,20,20,0.425531914893617,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,0,2,2,muc16ats_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,0,3,3,imp2_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,0,4,4,bst2_renamed,20,49,7,42,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,0,5,5,muc16tss_renamed,20,50,6,44,20,20,0.4,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,0,6,6,imp1_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,0,7,7,erbb2_renamed,20,49,6,43,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,0,8,8,melana_renamed,20,49,6,43,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,0,0,dse_renamed,20,48,6,42,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,1,1,mrp3_renamed,20,47,4,43,20,20,0.425531914893617,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,2,2,muc16ats_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,3,3,imp2_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,4,4,bst2_renamed,20,49,7,42,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,5,5,muc16tss_renamed,20,50,6,44,20,20,0.4,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,6,6,imp1_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,7,7,erbb2_renamed,20,49,6,43,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
1,1,8,8,melana_renamed,20,49,6,43,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,0,0,0,dse_renamed,21,48,6,42,21,20,0.4166666666666667,0.9523809523809523,0.04761904761904767,1.05,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,0,1,1,mrp3_renamed,21,47,4,43,21,20,0.425531914893617,0.9523809523809523,0.04761904761904767,1.05,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,0,2,2,muc16ats_renamed,21,48,5,43,21,20,0.4166666666666667,0.9523809523809523,0.04761904761904767,1.05,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,0,3,3,imp2_renamed,21,48,5,43,21,20,0.4166666666666667,0.9523809523809523,0.04761904761904767,1.05,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,0,4,4,bst2_renamed,21,49,7,42,21,20,0.40816326530612246,0.9523809523809523,0.04761904761904767,1.05,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,0,5,5,muc16tss_renamed,21,50,6,44,21,20,0.4,0.9523809523809523,0.04761904761904767,1.05,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,0,6,6,imp1_renamed,21,48,5,43,21,20,0.4166666666666667,0.9523809523809523,0.04761904761904767,1.05,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,0,7,7,erbb2_renamed,21,49,6,43,21,20,0.40816326530612246,0.9523809523809523,0.04761904761904767,1.05,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,0,8,8,melana_renamed,21,49,6,43,21,21,0.42857142857142855,1.0,0.0,1.0,"{""AAAAAAAAA"": 20, ""AAAAAAAAC"": 1}"
2,1,0,0,dse_renamed,20,48,6,42,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,1,1,1,mrp3_renamed,20,47,4,43,20,20,0.425531914893617,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,1,2,2,muc16ats_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,1,3,3,imp2_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,1,4,4,bst2_renamed,20,49,7,42,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,1,5,5,muc16tss_renamed,20,50,6,44,20,20,0.4,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,1,6,6,imp1_renamed,20,48,5,43,20,20,0.4166666666666667,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,1,7,7,erbb2_renamed,20,49,6,43,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,1,8,8,melana_renamed,20,49,6,43,20,20,0.40816326530612246,1.0,0.0,1.0,"{""AAAAAAAAA"": 20}"
2,2,0,0,dse_renamed,4,48,6,42,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
2,2,1,1,mrp3_renamed,4,47,4,43,4,4,0.0851063829787234,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
2,2,2,2,muc16ats_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
2,2,3,3,imp2_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
2,2,4,4,bst2_renamed,4,49,7,42,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
2,2,5,5,muc16tss_renamed,4,50,6,44,4,4,0.08,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
2,2,6,6,imp1_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
2,2,7,7,erbb2_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
2,2,8,8,melana_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 3, ""AAAAAAAAC"": 1}"
3,0,0,0,dse_renamed,4,48,6,42,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,0,1,1,mrp3_renamed,4,47,4,43,4,4,0.0851063829787234,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,0,2,2,muc16ats_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,0,3,3,imp2_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,0,4,4,bst2_renamed,4,49,7,42,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,0,5,5,muc16tss_renamed,4,50,6,44,4,4,0.08,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,0,6,6,imp1_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,0,7,7,erbb2_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,0,8,8,melana_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,0,0,dse_renamed,4,48,6,42,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,1,1,mrp3_renamed,4,47,4,43,4,4,0.0851063829787234,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,2,2,muc16ats_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,3,3,imp2_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,4,4,bst2_renamed,4,49,7,42,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,5,5,muc16tss_renamed,4,50,6,44,4,4,0.08,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,6,6,imp1_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,7,7,erbb2_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
3,1,8,8,melana_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,0,0,dse_renamed,4,48,6,42,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,1,1,mrp3_renamed,4,47,4,43,4,4,0.0851063829787234,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,2,2,muc16ats_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,3,3,imp2_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,4,4,bst2_renamed,4,49,7,42,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,5,5,muc16tss_renamed,4,50,6,44,4,4,0.08,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,6,6,imp1_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,7,7,erbb2_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,0,8,8,melana_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,0,0,dse_renamed,4,48,6,42,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,1,1,mrp3_renamed,4,47,4,43,4,4,0.0851063829787234,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,2,2,muc16ats_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,3,3,imp2_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,4,4,bst2_renamed,4,49,7,42,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,5,5,muc16tss_renamed,4,50,6,44,4,4,0.08,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,6,6,imp1_renamed,4,48,5,43,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,7,7,erbb2_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
4,1,8,8,melana_renamed,4,49,6,43,4,4,0.08163265306122448,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
5,0,0,0,dse_renamed,4,48,6,42,4,4,0.08333333333333333,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
5,0,1,1,mrp3_renamed,4,47,4,43,4,4,0.0851063829787234,1.0,0.0,1.0,"{""AAAAAAAAA"": 4}"
